"Month","WeekOfMonth","DayOfWeek","Make","AccidentArea","DayOfWeekClaimed","MonthClaimed","WeekOfMonthClaimed","Sex","MaritalStatus","Age","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound_P","PolicyNumber","RepNumber","Deductible","DriverRating","Days_Policy_Accident","Days_Policy_Claim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChange_Claim","NumberOfCars","Year","BasePolicy"
"Dec",5,"Wednesday","Honda","Urban","Tuesday","Jan",1,"Female","Single",21,"Policy Holder","Sport - Liability","Sport","more than 69000",0,1,12,300,1,"more than 30","more than 30","none","3 years","26 to 30","No","No","External","none","1 year","3 to 4",1994,"Liability"
"Jan",3,"Wednesday","Honda","Urban","Monday","Jan",4,"Male","Single",34,"Policy Holder","Sport - Collision","Sport","more than 69000",0,2,15,400,4,"more than 30","more than 30","none","6 years","31 to 35","Yes","No","External","none","no change","1 vehicle",1994,"Collision"
"Oct",5,"Friday","Honda","Urban","Thursday","Nov",2,"Male","Married",47,"Policy Holder","Sport - Collision","Sport","more than 69000",0,3,7,400,3,"more than 30","more than 30","1","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jun",2,"Saturday","Toyota","Rural","Friday","Jul",1,"Male","Married",65,"Third Party","Sedan - Liability","Sport","20000 to 29000",0,4,4,400,2,"more than 30","more than 30","1","more than 7","51 to 65","Yes","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Jan",5,"Monday","Honda","Urban","Tuesday","Feb",2,"Female","Single",27,"Third Party","Sport - Collision","Sport","more than 69000",0,5,3,400,1,"more than 30","more than 30","none","5 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Oct",4,"Friday","Honda","Urban","Wednesday","Nov",1,"Male","Single",20,"Third Party","Sport - Collision","Sport","more than 69000",0,6,12,400,3,"more than 30","more than 30","none","5 years","21 to 25","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Feb",1,"Saturday","Honda","Urban","Monday","Feb",3,"Male","Married",36,"Third Party","Sport - Collision","Sport","more than 69000",0,7,14,400,1,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"Nov",1,"Friday","Honda","Urban","Tuesday","Mar",4,"Male","Single",0,"Policy Holder","Sport - Collision","Sport","more than 69000",0,8,1,400,4,"more than 30","more than 30","1","new","16 to 17","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Dec",4,"Saturday","Honda","Urban","Wednesday","Dec",5,"Male","Single",30,"Policy Holder","Sport - Collision","Sport","more than 69000",0,9,7,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","Yes","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Apr",3,"Tuesday","Ford","Urban","Wednesday","Apr",3,"Male","Married",42,"Policy Holder","Utility - All Perils","Utility","more than 69000",0,10,7,400,1,"more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"Mar",2,"Sunday","Mazda","Urban","Wednesday","Mar",3,"Male","Single",71,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,11,7,400,3,"more than 30","more than 30","none","more than 7","over 65","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Mar",5,"Monday","Honda","Urban","Monday","Mar",5,"Male","Married",52,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,12,13,400,1,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jan",3,"Friday","Ford","Urban","Friday","Jan",3,"Male","Married",28,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,13,11,400,1,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jan",5,"Friday","Honda","Rural","Wednesday","Feb",1,"Male","Single",0,"Third Party","Sedan - Collision","Sedan","more than 69000",0,14,12,400,3,"more than 30","more than 30","none","new","16 to 17","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jan",5,"Monday","Ford","Urban","Thursday","Feb",1,"Male","Married",61,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,15,3,400,1,"more than 30","more than 30","none","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Aug",4,"Tuesday","Ford","Urban","Monday","Aug",5,"Male","Single",38,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,16,16,400,1,"more than 30","more than 30","none","6 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Apr",4,"Thursday","Ford","Urban","Wednesday","May",1,"Male","Married",41,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,17,15,400,4,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jul",5,"Sunday","Chevrolet","Urban","Wednesday","Aug",1,"Female","Married",28,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,18,6,400,1,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"May",4,"Thursday","Pontiac","Urban","Monday","May",5,"Male","Single",32,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,19,6,400,1,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Apr",4,"Monday","Honda","Urban","Tuesday","May",1,"Male","Married",30,"Third Party","Sedan - Liability","Sport","more than 69000",0,20,2,400,2,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Apr",2,"Friday","Mazda","Urban","Tuesday","May",1,"Male","Married",40,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,21,3,400,1,"more than 30","more than 30","1","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Jan",2,"Saturday","Chevrolet","Urban","Monday","Jan",2,"Male","Married",47,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,22,13,400,2,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","none","4 to 8 years","2 vehicles",1994,"Collision"
"Aug",3,"Sunday","Mazda","Urban","Thursday","Aug",5,"Male","Married",63,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,23,8,400,3,"more than 30","more than 30","1","more than 7","51 to 65","No","No","External","1 to 2","no change","1 vehicle",1994,"Liability"
"Jun",3,"Saturday","Pontiac","Urban","Tuesday","Jun",3,"Male","Single",31,"Third Party","Sedan - Liability","Sport","30000 to 39000",0,24,5,400,3,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Liability"
"Sep",3,"Friday","Mazda","Urban","Friday","Sep",3,"Male","Married",45,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,25,12,400,3,"more than 30","more than 30","more than 4","more than 7","36 to 40","Yes","No","External","none","no change","1 vehicle",1994,"All Perils"
"Mar",3,"Monday","Pontiac","Urban","Tuesday","Apr",1,"Male","Married",60,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,26,16,400,4,"more than 30","more than 30","more than 4","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Mar",3,"Thursday","Honda","Urban","Thursday","Jun",4,"Male","Married",21,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,27,1,400,2,"more than 30","more than 30","more than 4","5 years","26 to 30","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
