"Month","WeekOfMonth","DayOfWeek","Make","AccidentArea","DayOfWeekClaimed","MonthClaimed","WeekOfMonthClaimed","Sex","MaritalStatus","Age","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound_P","PolicyNumber","RepNumber","Deductible","DriverRating","Days_Policy_Accident","Days_Policy_Claim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChange_Claim","NumberOfCars","Year","BasePolicy"
"Oct",4,"Friday","Pontiac","Urban","Friday","Oct",4,"Female","Married",35,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,783,8,400,3,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Oct",3,"Friday","Pontiac","Urban","Friday","Oct",4,"Male","Married",32,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,416,6,400,1,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Nov",2,"Thursday","Honda","Urban","Friday","Jan",3,"Male","Single",34,"Policy Holder","Sport - Collision","Sport","more than 69000",1,95,7,400,3,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Apr",4,"Wednesday","Mazda","Urban","Thursday","May",1,"Female","Married",27,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,781,5,400,3,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jan",2,"Tuesday","Pontiac","Urban","Friday","Jan",2,"Male","Single",31,"Third Party","Sedan - Liability","Sport","30000 to 39000",0,153,10,400,3,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"Liability"
"Jan",1,"Wednesday","Accura","Urban","Monday","Jan",3,"Male","Married",54,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",1,406,7,400,4,"more than 30","more than 30","more than 4","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"Sep",4,"Tuesday","Honda","Urban","Monday","Oct",1,"Male","Married",50,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,154,2,500,3,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","more than 5","2 to 3 years","1 vehicle",1994,"All Perils"
"Jan",4,"Friday","Pontiac","Urban","Monday","Jan",4,"Male","Married",55,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,734,12,400,1,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Mar",1,"Thursday","Ford","Urban","Thursday","Mar",1,"Female","Married",45,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,746,16,400,2,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"May",4,"Tuesday","Honda","Urban","Monday","Aug",4,"Female","Single",29,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,466,11,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
